Date,Channel Name,Total Views,Total Subscribers
2025-03-12,Samma Entertainment,89853237,166000
2025-03-12,Samma News,6083763736,12400000
2025-03-12,Dawn news,704498916,1900000
2025-03-12,Express News,1557915996,4690000
2025-03-12,ARY News,8774776125,14500000
2025-03-12,ARY Digital,61734885230,61700000
2025-03-12,Duniya News,4864439621,8660000
2025-03-12,Aaj News,434066153,1460000
2025-03-12,92 News,1951487177,5660000
2025-03-12,GNN News,1685326743,3470000
2025-03-12,Public News,1148587434,3240000
2025-03-12,24 News hd,3829588204,8580000
2025-03-12,Bol News,3872477489,7740000
2025-03-12,Hum News,455381969,1610000
2025-03-12,Neo news,683940609,2230000
2025-03-13,Geo Entertainment,1419936832,3600000
2025-03-13,Geo News,9338131234,17800000
2025-03-13,Samma Entertainment,89853237,166000
2025-03-13,Samma News,6124101469,12400000
2025-03-13,Dawn news,705352635,1910000
2025-03-13,Express News,1566956599,4690000
2025-03-13,ARY News,8774776125,14500000
2025-03-13,ARY Digital,61734885230,61700000
2025-03-13,Duniya News,4864439621,8660000
2025-03-13,Aaj News,438714078,1470000
2025-03-13,92 News,1951487177,5670000
2025-03-13,GNN News,1685326743,3470000
2025-03-13,Public News,1151585317,3240000
2025-03-13,24 News hd,3829588204,8580000
2025-03-13,Bol News,3872477489,7740000
2025-03-13,Hum News,455381969,1610000
2025-03-13,Neo news,683940609,2230000
2025-03-14,Geo Entertainment,1425137321,3610000
2025-03-14,Geo News,9387863329,17800000
2025-03-14,Samma Entertainment,89866311,166000
2025-03-14,Samma News,6128900050,12400000
2025-03-14,Dawn news,705990844,1910000
2025-03-14,Express News,1568126935,4690000
2025-03-14,ARY News,8795078761,14500000
2025-03-14,ARY Digital,62084481155,61700000
2025-03-14,Duniya News,4879061546,8670000
2025-03-14,Aaj News,439282413,1470000
2025-03-14,92 News,1957631320,5670000
2025-03-14,GNN News,1686665291,3470000
2025-03-14,Public News,1151838309,3250000
2025-03-14,24 News hd,3836671086,8580000
2025-03-14,Bol News,3878952876,7750000
2025-03-14,Hum News,457599609,1610000
2025-03-14,Neo news,685099730,2230000
2025-03-15,Geo Entertainment,1425725215,3610000
